CoCNo,Name,Description,Expected,Value,Framework,Evidence
3.2.14,"Site Documentation","Ensure that high quality, accurate O&M manuals, As-Built records, commissioning records, schematics and single lines diagrams are available in order to enable all installed infrastructure and equipment to be maintained as originally designed and operated at optimum levels of efficiency. Accurate documentation and records are essential to the correct operation and use of energy efficiency functions built-In by equipment manufacturers. Updates should be made whenever any settings are changed or equipment is added, replaced or modified. Historical records should also be kept. Effective commissioning and delivery of detailed and accurate documentation should be a key part of any project handover. Note: EN 50600-3-1 can be referenced for more detail on this area.",Entire Data Centre,3,"The organisation shall ensure that high quality, accurate SOPs, MOPs, EOPs, O&M manuals, As-Built records, commissioning records, schematics and single lines diagrams are available in order to enable all installed infrastructure and equipment to be maintained as originally designed and operated at optimum levels of efficiency. Updates shall be made whenever any settings are changed or equipment is added, replaced or modified. Historical records shall also be kept. Effective commissioning and delivery of detailed and accurate documentation shall be a key part of any project handover. Note: SOPs= Standard operating procedures, MOPs=maintenance operating portocols, EOPs=emergiences operating procedures Note: EN 50600-3-1 can be referenced for more detail on this area. Note: Accurate documentation and records are essential to the correct operation and use of energy efficiency functions built- In by equipment manufacturers.","Review Site Documents, should contain O&M Manuals, Drawings, schematics and be available in digital or physical form."
3.2.15,"Training and Development","Ensure the Data Centre Manager and any appointed Energy Manager has relevant and appropriate training to fulfil an energy efficiency role and have an in-depth appreciation of Best Practices (such as this Code of Conduct). Ensure that both IT and Facilities personnel are aware of Data Centre energy efficiency Best Practises (such as this Code of Conduct) in order to support organisational strategies to reduce IT energy usage. Remove silos and promote a minimum level of common understanding relating to datacentre Operations and Management. An overall training methodology should be defined and delivered to all relevant personnel in order to improve individual personal development and develop suitably qualified and experienced data centre personnel. Note: Properly trained and qualified personnel are essential to efficient data centre operation.",Entire Data Centre,3,"The organisation shall ensure the Data Centre Manager and any appointed Energy Manager has relevant and appropriate training to fulfil an energy efficiency role and have an in-depth appreciation of Best Practices. The organisation shall ensure that both IT and Facilities personnel are aware of Data Centre energy efficiency Best Practices in order to support organisational strategies to reduce IT energy usage. Note: It is the intention to remove silos and promote a minimum level of common understanding related to data centre Operations and Management. An overall training methodology should be defined and delivered to all relevant personnel in order to improve individual personal development and develop suitably qualified and experienced data centre personnel. Note: Properly trained and qualified personnel are essential to an efficient data centre operation.","Training company certificates, Internal training matrix, list of participants"
3.3.1,"Build resilience to business requirements","Only the level of resilience and therefore availability actually justified by business requirements and impact analysis should be built or purchased in the case of a collocation customer. 2N infrastructures are frequently unnecessary and inappropriate. If only a single level of resilience is available in the data centre an increased resilience or availability for critical services might be obtained by splitting the IT platform across multiple sites and making applications resilient to the loss of an individual site.",New build of retrofit,3,"The organisation shall consider and document the level of resilience and availability actually justified by business requirements and impact analysis that should be built or purchased in the case of a colocation customer. Note 1: EN 50600-1 mandates a risk analysis to determine the level of redundancy of DC infrastuctures to properly reflect the level of desired resilience and availability.","Review of Design Drawings/Project Scope"
3.3.2,"Consider multiple levels of resilience","It is possible to build a single data centre to provide multiple levels of power and cooling resilience to different floor areas. Many co-location providers already deliver this, for example, optional ‘grey’ power feeds without UPS or generator back up.",New build of retrofit,3,"The organisation shall consider and document the provision of multiple levels of power and cooling resilience to different floor areas. Note: for example, optional ‘grey’ power feeds without UPS or generator back up.","Review of Design Drawings/Project Scope/Service Charging Models"
3.3.3,"Lean provisioning of power and cooling for a maximum of 18 months of data floor capacity","The provisioning of excess power and cooling capacity in the data centre drives substantial fixed losses and is unnecessary. Planning a data centre for modular (scalable) expansion and then building out this capacity in a rolling program of deployments is more efficient. This also allows the technology ‘generation’ of the IT equipment and supporting M&E infrastructure to be matched, improving both efficiency and the ability to respond to business requirements.",New build of retrofit,3,"The organisation shall consider and document the lean provisioning of power and cooling capacity in the data centre for a maximum of 18 months of data floor capacity. Note: The provisioning of excess power and cooling capacity in the data centre drives substantial fixed losses and is unnecessary.","Review of Design Drawings/Project Scope"
3.3.4,"Design infrastructure to maximise part load efficiency","All areas of the data centre should be designed to maximise the energy efficiency of the facility under partial fill / partial load and variable IT electrical and cooling loads. This is in addition to one off modular provisioning and should consider the response of the infrastructure to dynamic loads.E.G. Appropriately controlled Variable Frequency (or speed) Drive for pumps, fans and compressors.",New build of retrofit,3,"The organisation shall design the data centre to maximise the energy efficiency of the facility under partial fill/partial load and variable IT electrical and cooling loads. A part load strategy shall be documented. All areas of the data centre should be designed to maximise the energy efficiency of the facility under partial fill/partial load and variable IT electrical and cooling loads. Note: This is in addition to one off modular provisioning and should consider the response of the infrastructure to dynamic loads. E.G. Appropriately controlled Variable Frequency (or speed) Drive for pumps, fans and compressors.","Part load strategy document and SOPs"
4.1.1,"IT hardware – Power","Include the Energy efficiency performance of the IT device as a high priority decision factor in the tender process. This may be through the use of SERT (http://www.spec.org/sert/) or SPEC Power. (http://www.spec.org/power_ssj2008/results/) or similar metrics or through application or deployment of specific user metrics more closely aligned to the target environment, which may include service level or reliability components. The power consumption of the device at the expected utilisation or applied workload should be considered in addition to peak performance per Watt figures. Reference ISO/IEC 30134-4: 2017 Information technology — Data centres —Key performance indicators — Part 4: IT Equipment Energy Efficiency for servers (ITEEsv) Also ETSI - EN 303 470 Environmental Engineering (EE); Energy Efficiency measurement methodology and metrics for servers",New IT equipment,5,"When procuring IT equipment (including network equipment, servers, storage systems, etc.) an organisation shall require the manufacturer to deliver an external report, such as an associated SPECpower or SERT report or measurements based on ETSI EN 303 407 for the equipment. This report shall show the power consumption of the equipment at different utilization levels as well as in idling state.","Updated & approved IT equipment selection & procurement process & manufacturer data sheet"
4.1.2,"New IT hardware – Restricted (legacy) operating temperature and humidity range","If no equipment can be procured which meets the operating temperature and humidity range of Practice 4.1.3,(ASHRAE Class A2), then equipment supporting (at a minimum), the restricted (legacy) range of 15°C to 32°C inlet temperature and humidity from –12°C DP and 8% rh to 27°C DP and 80% rh may be procured. This range is defined as the ASHRAE Allowable range for Class A1 class equipment. Class A1 equipment is typically defined as Enterprise class servers (including mainframes) and storage products such as tape devices and libraries.To support the restrictive range of operation equipment should be installed in a separate area of the data floor in order to facilitate the segregation of equipment requiring tighter environmental controls as described in Practices 5.1.11, 5.1.4,and 5.1.5. In unusual cases where older technology equipment must be procured due to compatibility and application validation requirements (an example being air traffic control systems), these systems should be considered as subset of this Practice and installed so as not to restrict the operation of other equipment described above. A summary of ASHRAE environmental guidelines can be found at: https://www.ashrae.org/File%20Library/Technical%20Resources/Publication%20Errata%20and%20Update s/90577_errata.pdf",New IT equipment,4,"In such a cases when no equipment can be procured which meets the operating temperature and humidity range of ASHRAE Class A2, then the organisation shall require procurement of equipment supporting the range of ASHRAE Class A1.","Updated & approved IT equipment selection & procurement process"
4.1.3,"New IT hardware – Expected operating temperature and humidity range","Include the operating temperature and humidity ranges at the air intake of new equipment as high priority decision factors in the tender process. Equipment should be able to withstand and be within warranty for the full range of 10°C to 35°C inlet temperature and humidity –12°C DP and 8% rh to 27°C DP and 80% rh. This is defined by the ASHRAE Class A2 allowable temperature and humidity range. Vendors are required to publish (not make available on request) any restriction to the operating hours within this range for any model or range which restricts warranty to less than continuous operation within the allowable range. To address equipment types which cannot be procured to meet this specification exclusions and mitigation measures are provided in Practices 4.1.2,for new IT equipment, 5.1.11 for existing data centres and 5.1.4 for new build data centres. Directly liquid cooled IT devices are addressed in Practice 4.1.14. A summary of ASHRAE environmental guidelines can be found at: https://www.ashrae.org/File%20Library/Technical%20Resources/Publication%20Errata%20and%20Update s/90577_errata.pdf",New IT equipment,5,"The organisation shall include operating temperature and humidity ranges at the air intake of new equipment as a high priority decision factor in the tender process. Equipment should be able to withstand and be within warranty for the full range of the ASHRAE Class A2 allowable temperature and humidity range.","Updated & approved IT equipment selection & procurement process"
4.1.5,"Select IT equipment suitable for the data centre power density and cooling delivery capabilities","Select and deploy IT equipment at the designed power density (per cabinet or m²) of the data centre to avoid running the cooling system outside design parameters. Note: Increasing power density may create cooling and air flow management problems reducing both capacity and efficiency. Power and cooling need to be considered as capacity constraints in addition to physical space as referenced in Practice 5.5.6.",New IT equipment,3,"The organisation shall have data center design documents that define the power density requirement. The power density requirements shall be considered during provisioning. Note: Increasing power density may create cooling and air flow management problems reducing both capacity and efficiency.","Updated and approved data center design document"
4.1.6,"IT equipment power usage against inlet temperature When selecting","New IT equipment,require the vendor to supply at minimum the total system power for a range of temperatures covering the full allowable inlet temperature range for the equipment at 100% load on a specified recognised benchmark such as Linpack, SERT (http://www.spec.org/sert/) or SPEC Power http://www.spec.org/power_ssj2008/). Data should be provided for 5°C or smaller steps of inlet temperature. As a minimum comply with the EU EcoDesign Directive and Lot 9 amendments to EU Commission regulation for servers and online storage systems. Considered optional but recommended; Total system power covering the full allowable inlet temperature range under 0% and 50% load on the selected benchmark. These sets of data shown easily in a single table and single chart will allow a data centre operator to select equipment to meet their chosen operating temperature range without significant increase in power consumption. This Practice is intended to improve the thermal performance of IT equipment by allowing operators to avoid devices with compromised cooling designs and creating a market pressure toward devices which operate equally well at increased intake temperature. Consider referencing and using the current U.S. EPA ENERGY STAR specifications for Servers. Consider referencing and using the current U.S. EPA ENERGY STAR specifications for Data Center Storage.",New IT Equipment,5,"Organisations shall require the suppliers of IT equipment to deliver a report on the total power consumption of the system at different inlet temperature levels (in 5°C intervals) or as an alternative, supplement the SPECpower, SERT or EN 303 470 reports with such overview of system power use at different inlet temperature intervals (in 5°C intervals).","Updated & approved IT equipment selection & procurement process"
4.1.7,"Select equipment suitable for the data centre - Air flow direction","When selecting equipment for installation into cabinets ensure that the air flow direction matches the air flow design for that area. This is commonly front to rear or front to top. If the equipment uses a different air flow direction to that defined for the area into which it is installed (such as right to left when the cabinet is intended to be front to back) it should only be used with a correction mechanism such as ducts, or special cabinets that divert the air flow to the defined direction. Equipment with non-standard air flow will compromise the air flow management of the data centre and therefore restrict the ability to increase temperature set points. It is possible to mitigate this issue by segregating such equipment according to Practices 5.1.11, 5.1.4 and 5.1.5.",New IT equipment,5,"Organisations shall require suppliers to deliver equipment that has an airflow direction which matches the data center design. If the equipment does not match the design, it should only be used with a correction mechanism in place, such as ducts or special cabinets that divert airflow in the desired direction.","Updated & approved IT equipment selection & procurement process; Updated guidelines for installing IT equipment in cabinets"
4.1.8,"Enable power management features","Formally change the deployment process to include the enabling of power management features on IT hardware as it is deployed. This includes BIOS, operating system and driver settings.",New IT equipment,5,"Organisations which own and deploy their own IT & networking equipment shall ensure that power management features are enabled in the Basic Input Output System (BIOS) settings or Unified Extensible Firmware Interface (UEFI), operating systems and driver settings of all equipment that has those features available. For organisations that install IT equipment on behalf of 3rd parties, the terms of service or contracts shall require the customers to enable power management features in the BIOS or ask the vendor to do so on their behalf. When IT equipment is installed for the first time, power management features shall be enabled and documented irrespective of the ownership of the equipment. Note: exceptions need to be documented.","Updated IT deployment & configuration process OR updated terms of service and/or customer contracts and documentation of the power management features of each equipment item and list of exceptions"
4.1.9,"Provision only to the actual IT power usage required","Provision power and cooling only to the planned power draw of the IT equipment as configured (based on the components actually installed), rather than the Power Supply Unit (PSU) size or nameplate rating. This is intended to avoid over-sizing of electrical infrastructure resulting in a low (partial) load and therefore inefficient operation. Note: This may require changes to the provisioning if the IT equipment performance is increased or upgraded.",New IT equipment,3,"The organisation designing or retrofitting a new space shall provision power and cooling only to the planned power draw of the IT equipment as configured (based on the components actually installed), rather than the PowerSupply Unit (PSU) or nameplate rating.","Updated and approved data center design document"
4.1.10,"EU Eco Design / Energy Star compliant hardware","As a minimum comply with the EU EcoDesign Directive and Lot 9 amendments to EU Commission regulation for servers and online storage systems. The Energy Star Labelling programs for IT equipment should be used as a guide to server selection where and when available for that class of equipment. Operators who are able to determine the in-use energy efficiency of hardware through more advanced or effective analysis should selectthe most efficient equipment for their scenario. This Practice should be in line with the current U.S. EPA ENERGY STAR specifications for Servers. Additionally reference and use the current U.S. EPA ENERGY STAR specifications for Data Center Storage.",New IT equipment,4,"The organisation shall procure IT equipment which has the highest efficiency in power usage for their given scenario, meeting as a minimum the Eco-design requirement, using ETSI EN 303 470 or the ISO/IEC 21836 as the measurement methodology.","ENERGY STAR specifcation can be used as a reference, and organisations shall conduct their own analysis to identify the equipment with the highest efficiency. Updated & approved IT equipment selection & procurement process"
4.1.11,"Energy & temperature reporting hardware","Select equipment with power and inlet temperature reporting capabilities, preferably reporting energy used as a counter in addition to power as a gauge. Where applicable, industry standard reporting approaches should be used such as IPMI, DMTF Redfish and SMASH. To assist in the implementation of temperature and energy monitoring across abroad range of data centres all devices with an IP interface should support one of;␟ SNMP polling of inlet temperature and power draw. Note that event based SNMP traps and SNMP configuration are not required␟ IPMI polling of inlet temperature and power draw (subject to inlet temperature being included as per IPMI or Redfish) ␟ An interface protocol which the operators’ existing monitoring platform is able to retrieve inlet temperature and power draw data from without the purchase of additional licenses from the equipment vendor The intent of this Practice is to provide energy and environmental monitoring of the data centre through normal equipment churn.",New IT equipment,3,"Organisations shall require that the equipment delivered by suppliers is capable of delivering power usage information as well as inlet temperature information via machine-readable interfaces, such as IPMI, DMTF Redfish or SMASH. This interface should be available through an IP based interface and support SNMP polling. Accessing the aforementioned interfaces should not require additional hardware, licenses or software by the vendor but rather should be open standards for integration with existing monitoring systems. As an alternative, the equipment vendor may provide a configuration interface to define an endpoint to which the same metering information is pushed/sent instead of offering a poll-based mechanism. This should still adhere to the SNMP protocol or another open protocol.","Updated & approved IT equipment selection & procurement process"
4.1.12,"Control of equipment energy use","Select equipment which provides mechanisms to allow the external control of its energy use. An example of this would be the ability to externally restrict a server’s maximum energy use or trigger the shutdown of components, entire systems or sub-systems. Consider the use of user defined policies.",Optional,5,"Organisations shall require equipment suppliers to provide functionality to reduce the energy use of equipment and sub- systems within the equipment (e.g. disabling functionality) through programmatic and machine-accessible interfaces (APIs), where possible without vendor specific software or additional equipment being required.","Updated & approved IT equipment selection & procurement process"
4.1.13,"When forced to use select free standing equipment suitable for the data centre – Airflow direction","If no alternative is available select equipment which is free standing or supplied in custom cabinets so that the air flow direction of the enclosures match the airflow design in that area of the data centre. This is commonly front to rear or front to top. Specifically the equipment should match the hot / cold aisle layout or containment scheme implemented in the facility. Equipment with non-standard air flow can compromise the air flow management of the data centre and restrict the ability to raise temperature set points. It is possible to mitigate this compromise by segregating such equipment according to Practices 5.1.11, 5.1.4 and 5.1.5 Note: Try to avoid free standing equipment as it usually does not allow a well organised airflow through the data centre especially if the major part of the room is equipped with well organised IT equipment mounted in cabinets.",New IT equipment,4,"The organisation shall have an approved data centre design principle document, that also deals with free-standing equipment. If no alternative is available select equipment which is free standing or supplied in custom cabinets so that the air flow direction of the enclosures match the airflow design in that area of the data centre. This is commonly front to rear or front to top.Specifically the equipment should match the hot/cold aisle layout or containment scheme implemented in the facility. Equipment with non-standard air flow can compromise the air flow management of the data centre and restrict the ability to raise temperature set points. It is possible to mitigate this compromise by segregating such equipment according to Best Practices 5.1.4, 5.1.5, and 5.1.11 of this Framework. Note: Try to avoid free standing equipment as it usually does not allow a well organised airflow through the data centre especially if the major part of the room is equipped with well organised IT equipment mounted in cabinets.","Updated and approved data center design document"
4.1.15,"AC/DC Converter efficiency","Select IT equipment containing high efficiency AC/DC power converters. These should be rated at 90% power efficiency or better across the range of loads expected for the equipment to be installed. Reference ISO/IEC 30134-4: 2017 Information technology — Data centres —Key performance indicators — Part 4: ITEquipment Energy Efficiency for servers (ITEEsv) Also ETSI - EN 303 470 Environmental Engineering (EE); Energy Efficiency measurement methodology and metrics for servers. This Practice should also be implemented in line with the IEC 62040-5 standard.",New IT equipment,3,"Organisation shall include high-efficiency Power Supply Units (PSUs), with at least a rated efficiency of 90% or better (80 PLUS Platinum) as part of their equipment selection process. Note: Also ETSI - EN 303 470 Environmental Engineering (EE); Energy Efficiency measurement methodology and metrics for servers. This Practice should also be implemented inline with EN 62040-5-3.","Updated & approved IT equipment selection & procurement process"
4.2.1,"Deploy Virtualisation technologies","Processes should be put in place to require senior business approval for any new service that requires dedicated hardware and will not run on a resource sharing platform. This applies to servers, storage and networking aspects of the service.",New IT equipment,5,"The organisation shall implement a capacity management process which handles non-virtualised hardware. Within the process, the use of non-virtualised hardware is an exception and requires senior business approval.","Approved capacity management processes"
4.2.2,"Reduce IT hardware resilience level","Determine the business impact of service incidents for each deployed service and deploy only the level of hardware resilience that is fully justified. Ensure that the IT hardware resilience level is agreed by the application owners.",New IT equipment,4,"The organisation shall have a service design document which contains the contractual obligations and the required service availbility.","Approved service design document"
4.2.3,"Reduce hot / cold standby equipment","Determine the business impact of service incidents for each IT service and deploy only the level of Business Continuity / Disaster Recovery stand by IT equipment and resilience that is fully justified by the business impact.",New IT equipment,4,"The organisation shall have a service design document which contains the contractual obligations and the required service availbility.","Approved design document"
4.2.4,"Select efficient software","Make the energy use performance of the software a primary selection factor. Whilst forecasting and measurement tools and methods are still being developed, approximations could be used such as the (under load) power draw of the hardware required to meet performance and availability targets. This is an extension of existing capacity planning and benchmarking processes. See “Further development of software efficiency definitions” in section 11.",New software,5,"The organisation shall, when procuring third-party software, make the energy use performance of the software a primary selection factor. Whilst forecasting and measurement tools and methods are still being developed, approximations could be used such as the (under load) power draw of the hardware required to meet performance and availability targets. This is an extension of existing capacity planning and benchmarking processes. See “Further development of software efficiency definitions” in section 11 of the Code of Conduct.","Updated procurement guidelines for purchasing external software (Software- as-a-Service, Cloud Services, On-Premise Software)"
4.2.5,"Develop efficient software","Make the energy use performance of the software a major success factor of the project. Whilst forecasting and measurement tools and methods are still being developed approximations, could be used such as the (under load) power draw of the hardware required to meet performance and availability targets. This is an extension of existing capacity planning and benchmarking processes. Performance optimisation should not be seen as a low impact area to reduce the project budget. See “Further development of software efficiency definitions” in section 11.",New software,5,"The organisation shall make the energy use performance of the software a primary development factor. Whilst forecasting and measurement tools and methods are still being developed, approximations could be used such as the (under load) power draw of the hardware required to meet performance and availability targets. This is an extension of existing capacity planning and benchmarking processes. See “Further development of software efficiency definitions” in section 11 of the Code of Conduct.","Updated software development guidelines for the internal IT organisations which include required practices on environmental impact & energy use reporting for internal- and external-use."
